[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=8.17169 | c_delayed=-9.7156 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0.0050427 | c_delayed=7.03967 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=-2.94219 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2208 | tau_c_delay_=200 | t_past=2008 | c_current=0 | c_delayed=0 | n=0.0455348
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=2.99291e-32 | c_delayed=6.1989e-28 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=7.77315 | c_delayed=-10.7235 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0.00479676 | c_delayed=6.69634 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=-3.65741 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=19 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=2.84694e-32 | c_delayed=5.89658e-28 | n=0.131457
