[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=-4.26327 | c_delayed=0 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=5.75221 | c_delayed=0 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2407 | tau_c_delay_=200 | t_past=2207 | c_current=0 | c_delayed=0 | n=0.472456
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=0 | c_delayed=0 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=0 | c_delayed=0 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=1.71753e-36 | c_delayed=5.18115e-30 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=0 | c_delayed=0 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=0.00561197 | c_delayed=4.01063 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=4.52257e-07 | c_delayed=0.388039 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=-4.86642 | c_delayed=0 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=5.47167 | c_delayed=0 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2408 | tau_c_delay_=200 | t_past=2208 | c_current=0 | c_delayed=0 | n=0.527496
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=0 | c_delayed=0 | n=0.577298
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=0 | c_delayed=0 | n=0.577298
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=1.63376e-36 | c_delayed=4.92846e-30 | n=0.577298
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=0 | c_delayed=0 | n=0.577298
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=0.00533827 | c_delayed=2.93851 | n=0.577298
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=4.302e-07 | c_delayed=0.369114 | n=0.577298
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2409 | tau_c_delay_=200 | t_past=2209 | c_current=-5.40059 | c_delayed=0 | n=0.577298
