[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=3.40015e-32 | c_delayed=9.81767e-26 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=7.63339 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0.00448385 | c_delayed=1.45174 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=-4.91432 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2209 | tau_c_delay_=200 | t_past=2009 | c_current=0 | c_delayed=0 | n=0.0412016
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=3.23433e-32 | c_delayed=9.33886e-26 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=0 | c_delayed=0 | n=0.131457
[DEBUG trigger_update_weight]  | post_node_id=22 | t_trig=2210 | tau_c_delay_=200 | t_past=2010 | c_current=7.26111 | c_delayed=0 | n=0.131457
